,rmse,mae,mape
"((1, 2, 0), (4, 1, 0, 7))",30143.63518295444,23493.420007530352,4.021063188139553
"((2, 1, 6), (0, 0, 0, 0))",30143.669307822336,23493.85114061868,4.021114982181632
"((2, 1, 6), (0, 0, 0, 7))",30143.669307822336,23493.85114061868,4.021114982181632
"((6, 0, 8), (1, 0, 0, 7))",30143.672507669708,23493.891448002432,4.021119824496886
"((8, 0, 2), (0, 0, 2, 7))",30143.689944906095,23494.11074213564,4.0211461693307
"((6, 2, 4), (0, 0, 0, 0))",30143.760372321536,23494.990402755087,4.021251847090937
"((6, 2, 4), (0, 0, 0, 7))",30143.760372321536,23494.990402755087,4.021251847090937
"((2, 0, 11), (3, 0, 0, 7))",30143.76934358667,23495.101770846955,4.021265226262689
"((5, 1, 12), (0, 0, 0, 0))",30143.78108859416,23495.24734081013,4.021282714265818
"((5, 1, 12), (0, 0, 0, 7))",30143.78108859416,23495.24734081013,4.021282714265818
"((2, 1, 4), (0, 0, 0, 0))",30143.79893461094,23495.46802948964,4.021309226633027
"((2, 1, 4), (0, 0, 0, 7))",30143.79893461094,23495.46802948964,4.021309226633027
"((2, 1, 12), (2, 0, 0, 7))",30143.82678688769,23495.81126744751,4.021350461420415
"((2, 1, 5), (1, 0, 0, 7))",30143.835436204205,23495.917564466075,4.021363231380321
"((1, 2, 8), (1, 1, 0, 7))",30143.878769326784,23496.448047739515,4.021426960826589
"((6, 2, 6), (0, 1, 0, 7))",30143.887224830458,23496.551161952146,4.021439348421076
"((5, 1, 6), (0, 0, 2, 7))",30143.906754617343,23496.788834790008,4.021467901174967
"((9, 1, 0), (0, 0, 2, 7))",30143.965708166925,23497.502178046907,4.021553598449579
"((2, 0, 11), (2, 0, 0, 7))",30143.98939044776,23497.787024172016,4.0215878183519465
"((3, 1, 4), (0, 0, 2, 7))",30143.991329574175,23497.81030470451,4.021590615151617
"((7, 2, 2), (0, 0, 0, 0))",30144.00550157255,23497.98025305164,4.021611031844469
"((7, 2, 2), (0, 0, 0, 7))",30144.00550157255,23497.98025305164,4.021611031844469
"((1, 1, 7), (1, 1, 0, 7))",30144.012375782462,23498.062563608797,4.02162092019815
"((2, 1, 7), (0, 0, 0, 0))",30144.031923194092,23498.29618115291,4.021648985770564
"((2, 1, 7), (0, 0, 0, 7))",30144.031923194092,23498.29618115291,4.021648985770564
